Cidade,eMEC,AnoCriação,Área,Fator Retenção,Peso Grupo,Duração Padrão,Curso,Grau,TURNO,Vagas 2019,Candidatos 2019
Angra dos Reis,1278713,2014,CET,"0,1325",2,4,Geografia,Lic,Not,40,328
Angra dos Reis,12717,1992,CH,"0,1000",1,4,Pedagogia,Lic,Not,41,714
Angra dos Reis,12717,1992,CH,"0,1000",1,4,Pedagogia,Lic,Ves,41,485
Angra dos Reis,1160469,2012,CSA,"0,1200",1,4,Políticas Públicas,Bac,Not,40,507
Campos dos Goytacazes,1077609,2009,CSA,"0,1200",1,4,Ciências Econômicas,Bac,Int,130,1159
Campos dos Goytacazes,1079286,2009,CSA,"0,1200",1,4,Ciências Sociais,Bac,Not,70,579
Campos dos Goytacazes,123729,2009,CSA,"0,1200",1,4,Ciências Sociais,Lic,Not,70,643
Campos dos Goytacazes,423708,2009,CET,"0,1325",2,4,Geografia,Bac,Ves,62,322
Campos dos Goytacazes,1077817,2009,CET,"0,1325",2,4,Geografia,Lic,Not,63,407
Campos dos Goytacazes,1123212,2011,CH,"0,1000",1,4,História,Bac,Not,50,417
Campos dos Goytacazes,1122208,2011,CH,"0,1000",1,4,História,Lic,Not,80,879
Campos dos Goytacazes,1100005,2011,CH1,"0,1000",1,5,Psicologia,Bac,Int,130,3454
Campos dos Goytacazes,12696,1969,CSA,"0,1200",1,4,Serviço Social,Bac,Not,120,1955
Macaé,12724,1992,CSA,"0,1200",1,4,Administração,Bac,Not,50,2119
Macaé,12725,1992,CSA,"0,1200",1,4,Ciências Contábeis,Bac,Not,100,1085
Macaé,52258,2002,CSB,"0,1200",1,5,Direito,Bac,Int,120,2678
Niterói,12701,1970,CSA,"0,1200",1,4,Administração,Bac,Not,80,2220
Niterói,1151162,2012,CH,"0,1000",1,4,Antropologia,Bac,Int,62,798
Niterói,12697,1970,CSC,"0,1200","1,5",5,Arquitetura e Urbanismo,Bac,Int,74,548
Niterói,12684,1978,CSA,"0,1200",1,4,Arquivologia,Bac,Int,80,1071
Niterói,1169809,2012,A,"0,1150","1,5",4,Artes,Bac,Int,40,773
Niterói,12685,1963,CSA,"0,1200",1,4,Biblioteconomia e Documentação,Bac,Int,80,1055
Niterói,63834,2003,CS1,"0,0650","4,5",4,Biomedicina,Bac,Int,62,2288
Niterói,5000479,2011,CET,"0,1325",2,4,Ciência Ambiental,Bac,Int,40,563
Niterói,12710,1985,CE2,"0,1325","1,5",4,Ciência da Computação,Bac,Int,140,2122
Niterói,1122223,2010,CSA,"0,1200",1,4,Ciências Atuariais,Bac,Not,80,704
Niterói,344367,2000,CB,"0,1250",2,4,Ciências Biológicas,Bac,Int,80,1613
Niterói,44367,2000,CB,"0,1250",2,4,Ciências Biológicas,Lic,Int,40,573
Niterói,12711,1984,CSA,"0,1200",1,4,Ciências Contábeis,Bac,Not,90,1517
Niterói,12698,1943,CSA,"0,1200",1,4,Ciências Econômicas,Bac,Mat,100,1094
Niterói,12698,1943,CSA,"0,1200",1,4,Ciências Econômicas,Bac,Not,100,1224
Niterói,312686,1964,CSA,"0,1200",1,4,Ciências Sociais,Bac,Not,30,380
Niterói,312686,1964,CSA,"0,1200",1,4,Ciências Sociais,Bac,Ves,30,224
Niterói,12686,1964,CSA,"0,1200",1,4,Ciências Sociais,Lic,Not,30,355
Niterói,12686,1964,CSA,"0,1200",1,4,Ciências Sociais,Lic,Ves,30,263
Niterói,108646,2008,A,"0,1150","1,5",4,Cinema e Audiovisual,Bac,Int,72,2539
Niterói,1169811,2011,A,"0,1150","1,5",4,Cinema e Audiovisual,Lic,Not,22,350
Niterói,31882,1968,CSA,"0,1150",1,4,Comunicação Social - Publicidade e Propaganda,Bac,Int,52,2776
Niterói,1145026,2009,TEC,"0,0820",2,3,Desenho Industrial,Bac,Int,100,1017
Niterói,12699,1915,CSB,"0,1200",1,5,Direito,Bac,Int,110,2710
Niterói,12699,1915,CSB,"0,1200",1,5,Direito,Bac,Not,110,3728
Niterói,100406,2007,CS4,"0,0660","1,5",5,Educação Física,Lic,Int,64,2442
Niterói,12708,2004,CS4,"0,0660","1,5",5,Enfermagem,Bac,Int,114,3501
Niterói,12728,1993,ENG,"0,0820",2,5,Engenharia Agrícola e Ambiental,Bac,Int,100,1139
Niterói,12719,1952,ENG,"0,0820",2,5,Engenharia Civil,Bac,Int,90,1564
Niterói,90473,2006,ENG,"0,0820",2,5,Engenharia de Petróleo,Bac,Int,45,354
Niterói,12727,1993,ENG,"0,0820",2,5,Engenharia de Produção,Bac,Int,90,969
Niterói,100670,2007,ENG,"0,0820",2,5,Engenharia de Recursos Hídricos e do Meio Ambiente,Bac,Int,100,731
Niterói,12722,1974,ENG,"0,0820",2,5,Engenharia de Telecomunicações,Bac,Int,90,582
Niterói,12720,1952,ENG,"0,0820",2,5,Engenharia Elétrica,Bac,Int,90,909
Niterói,12721,1953,ENG,"0,0820",2,5,Engenharia Mecânica,Bac,Int,90,1139
Niterói,12718,1970,ENG,"0,0820",2,5,Engenharia Química,Bac,Int,100,715
Niterói,99082,2007,CE1,"0,1325","1,5",4,Estatística,Bac,Int,86,590
Niterói,83177,2005,CSA,"0,1200",1,4,Estudos de Mídia,Bac,Int,60,901
Niterói,12695,1912,CS3,"0,0660",2,5,Farmácia,Bac,Int,144,1669
Niterói,408644,2008,CH,"0,1000",1,4,Filosofia,Bac,Mat,56,665
Niterói,108644,2008,CH,"0,1000",1,4,Filosofia,Lic,Mat,56,791
Niterói,312688,1970,CE1,"0,1325","1,5",4,Física,Bac,Int,50,304
Niterói,12688,1970,CE1,"0,1325","1,5",4,Física,Lic,Int,50,227
Niterói,12688,1970,CE1,"0,1325","1,5",4,Física,Lic,Not,60,360
Niterói,83170,2005,CET,"0,1325",2,4,Geofisica,Bac,Int,42,380
Niterói,312689,1947,CET,"0,1325",2,4,Geografia,Bac,Mat,25,472
Niterói,312689,1947,CET,"0,1325",2,4,Geografia,Bac,Not,25,323
Niterói,12689,1947,CET,"0,1325",2,4,Geografia,Lic,Mat,25,426
Niterói,12689,1947,CET,"0,1325",2,4,Geografia,Lic,Not,25,329
Niterói,312705,1947,CH,"0,1000",1,4,História,Bac,Mat,10,199
Niterói,312705,1947,CH,"0,1000",1,4,História,Bac,Not,10,209
Niterói,12705,1947,CH,"0,1000",1,4,História,Lic,Mat,94,1359
Niterói,12705,1947,CH,"0,1000",1,4,História,Lic,Not,94,1627
Niterói,1126977,2011,CSA,"0,1200",1,4,Hotelaria,Tec,Int,50,454
Niterói,1342617,1968,CSA,"0,1150",1,4,Jornalismo,Bac,Int,52,1854
Niterói,332998,1947,LL,"0,1150",1,4,Letras - Alemão,Bac,Int,6,29
