CIDADE,eMEC,NOMECURSO,GRAU,TURNO, VAGASSEM1, INSCSEM1, VAGASSEM2, INSCSEM2, VAGAS 2020, INSCRITOS 2020
Angra dos Reis,12717,PEDAGOGIA,Licenciatura,Noturno,  41 ,  568 , -, -,  41 ,  568 
Angra dos Reis,12717,PEDAGOGIA,Licenciatura,Vespertino, -, -,  41 ,  316 ,  41 ,  316 
Angra dos Reis,1160469,POLÍTICAS PÚBLICAS,Bacharelado,Noturno,  40 ,  405 , -, -,  40 ,  405 
Angra dos Reis,1278713,GEOGRAFIA,Licenciatura,Vespertino, -, -,  40 ,  251 ,  40 ,  251 
Campos dos Goytacazes,12696,SERVIÇO SOCIAL,Bacharelado,Noturno,  50 ,  1036 ,  50 ,  575 ,  100 ,  1611 
Campos dos Goytacazes,123729,CIÊNCIAS SOCIAIS,Licenciatura,Noturno,  35 ,  304 ,  35 ,  273 ,  70 ,  577 
Campos dos Goytacazes,423708,GEOGRAFIA,Bacharelado,Vespertino,  62 ,  465 , -, -,  62 ,  465 
Campos dos Goytacazes,1077609,CIÊNCIAS ECONÔMICAS,Bacharelado,Integral,  60 ,  528 ,  60 ,  464 ,  120 ,  992 
Campos dos Goytacazes,1077817,GEOGRAFIA,Licenciatura,Noturno, -, -,  63 ,  386 ,  63 ,  386 
Campos dos Goytacazes,1079286,CIÊNCIAS SOCIAIS,Bacharelado,Noturno,  30 ,  279 ,  30 ,  191 ,  60 ,  470 
Campos dos Goytacazes,1100005,PSICOLOGIA,Bacharelado,Integral,  55 ,  1675 ,  55 ,  1642 ,  110 ,  3317 
Campos dos Goytacazes,1122208,HISTÓRIA,Licenciatura,Noturno,  20 ,  285 ,  20 ,  194 ,  40 ,  479 
Campos dos Goytacazes,1123212,HISTÓRIA,Bacharelado,Noturno,  25 ,  251 ,  25 ,  153 ,  50 ,  404 
Macaé,12724,ADMINISTRAÇÃO,Bacharelado,Noturno,  50 ,  1817 , -, -,  50 ,  1817 
Macaé,12725,CIÊNCIAS CONTÁBEIS,Bacharelado,Noturno,  50 ,  564 , -, -,  50 ,  564 
Macaé,52258,DIREITO,Bacharelado,Integral,  50 ,  1170 ,  50 ,  1021 ,  100 ,  2191 
Niterói,12684,ARQUIVOLOGIA,Bacharelado,Integral,  40 ,  711 ,  40 ,  364 ,  80 ,  1075 
Niterói,12685,BIBLIOTECONOMIA E DOCUMENTAÇÃO,Bacharelado,Integral,  40 ,  693 ,  40 ,  391 ,  80 ,  1084 
Niterói,12686,CIÊNCIAS SOCIAIS,Licenciatura,Noturno,  30 ,  310 , -, -,  30 ,  310 
Niterói,12686,CIÊNCIAS SOCIAIS,Licenciatura,Vespertino, -, -,  30 ,  224 ,  30 ,  224 
Niterói,12688,FÍSICA,Licenciatura,Integral,  25 ,  100 ,  25 ,  64 ,  50 ,  164 
Niterói,12688,FÍSICA,Licenciatura,Noturno,  35 ,  184 ,  25 ,  87 ,  60 ,  271 
