CIDADE,eMEC,NOMECURSO,GRAU,TURNO,VAGASSEM1,INSCSEM1,VAGASSEM2,INSCSEM2,VAGAS 2021,INSCRITOS 2021
Angra dos Reis,1278713,GEOGRAFIA,Licenciatura,Noturno,,,40,116,40,116
Angra dos Reis,12717,PEDAGOGIA,Licenciatura,Noturno,41,328,,,41,328
Angra dos Reis,12717,PEDAGOGIA,Licenciatura,Vespertino,,,41,213,41,213
Angra dos Reis,1160469,POLÍTICAS PÚBLICAS,Bacharelado,Noturno,40,256,,,40,256
Campos dos Goytacazes,1077609,CIÊNCIAS ECONÔMICAS,Bacharelado,Integral,60,393,60,243,120,636
Campos dos Goytacazes,1079286,CIÊNCIAS SOCIAIS,Bacharelado,Noturno,30,142,30,108,60,250
Campos dos Goytacazes,123729,CIÊNCIAS SOCIAIS,Licenciatura,Noturno,35,183,35,126,70,309
Campos dos Goytacazes,423708,GEOGRAFIA,Bacharelado,Vespertino,62,262,,,62,262
Campos dos Goytacazes,1077817,GEOGRAFIA,Licenciatura,Noturno,,,63,196,63,196
Campos dos Goytacazes,1122208,HISTÓRIA,Licenciatura,Noturno,20,152,20,80,40,232
Campos dos Goytacazes,1123212,HISTÓRIA,Bacharelado,Noturno,40,230,40,146,80,376
Campos dos Goytacazes,1100005,PSICOLOGIA,Bacharelado,Integral,55,1426,55,1228,110,2654
Campos dos Goytacazes,12696,SERVIÇO SOCIAL,Bacharelado,Noturno,50,687,50,371,100,1058
Macaé,12724,ADMINISTRAÇÃO,Bacharelado,Noturno,50,1101,,,50,1101
Macaé,12725,CIÊNCIAS CONTÁBEIS,Bacharelado,Noturno,50,294,,,50,294
Macaé,52258,DIREITO,Bacharelado,Integral,50,830,50,738,100,1568
Niterói,12701,ADMINISTRAÇÃO,Bacharelado,Noturno,40,800,40,442,80,1242
Niterói,1457276,ADMINISTRAÇÃO PÚBLICA,Bacharelado,Integral,25,233,25,143,50,376
Niterói,1151162,ANTROPOLOGIA,Bacharelado,Integral,62,545,,,62,545
Niterói,12684,ARQUIVOLOGIA,Bacharelado,Integral,40,440,40,229,80,669
Niterói,1169809,ARTES,Bacharelado,Integral,20,355,20,205,40,560
Niterói,12685,BIBLIOTECONOMIA E DOCUMENTAÇÃO,Bacharelado,Integral,40,404,40,250,80,654
Niterói,63834,BIOMEDICINA,Bacharelado,Integral,31,1271,31,1171,62,2442
Niterói,5000479,CIÊNCIA AMBIENTAL,Bacharelado,Integral,40,406,,,40,406
Niterói,12710,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,Integral,70,1006,70,737,140,1743
Niterói,1122223,CIÊNCIAS ATUARIAIS,Bacharelado,Noturno,40,253,40,190,80,443
Niterói,344367,CIÊNCIAS BIOLÓGICAS,Bacharelado,Integral,40,641,40,416,80,1057
Niterói,44367,CIÊNCIAS BIOLÓGICAS,Licenciatura,Integral,20,227,20,131,40,358
Niterói,12711,CIÊNCIAS CONTÁBEIS,Bacharelado,Noturno,45,542,45,304,90,846
