Cidade,Curso,Grau,Turno,Vagas,Inscritos,year,Inscritos/Vagas
Angra dos reis,Geografia,Licenciatura,Noturno,40.0,328.0,2019,8.2
Angra dos reis,Pedagogia,Licenciatura,Noturno,41.0,714.0,2019,17.414634146341463
Angra dos reis,Pedagogia,Licenciatura,Vespertino,41.0,485.0,2019,11.829268292682928
Angra dos reis,Políticas públicas,Bacharelado,Noturno,40.0,507.0,2019,12.675
Campos dos goytacazes,Ciências econômicas,Bacharelado,Integral,130.0,1159.0,2019,8.915384615384616
Campos dos goytacazes,Ciências sociais,Bacharelado,Noturno,70.0,579.0,2019,8.271428571428572
Campos dos goytacazes,Ciências sociais,Licenciatura,Noturno,70.0,643.0,2019,9.185714285714285
Campos dos goytacazes,Geografia,Bacharelado,Vespertino,62.0,322.0,2019,5.193548387096774
Campos dos goytacazes,Geografia,Licenciatura,Noturno,63.0,407.0,2019,6.4603174603174605
Campos dos goytacazes,História,Bacharelado,Noturno,50.0,417.0,2019,8.34
Campos dos goytacazes,História,Licenciatura,Noturno,80.0,879.0,2019,10.9875
Campos dos goytacazes,Psicologia,Bacharelado,Integral,130.0,3454.0,2019,26.56923076923077
Campos dos goytacazes,Serviço social,Bacharelado,Noturno,120.0,1955.0,2019,16.291666666666668
Macaé,Administração,Bacharelado,Noturno,50.0,2119.0,2019,42.38
Macaé,Ciências contábeis,Bacharelado,Noturno,100.0,1085.0,2019,10.85
Macaé,Direito,Bacharelado,Integral,120.0,2678.0,2019,22.316666666666666
Niterói,Administração,Bacharelado,Noturno,80.0,2220.0,2019,27.75
Niterói,Antropologia,Bacharelado,Integral,62.0,798.0,2019,12.870967741935484
Niterói,Arquitetura e urbanismo,Bacharelado,Integral,74.0,548.0,2019,7.405405405405405
Niterói,Arquivologia,Bacharelado,Integral,80.0,1071.0,2019,13.3875
Niterói,Artes,Bacharelado,Integral,40.0,773.0,2019,19.325
Niterói,Biblioteconomia e documentação,Bacharelado,Integral,80.0,1055.0,2019,13.1875
Niterói,Biomedicina,Bacharelado,Integral,62.0,2288.0,2019,36.903225806451616
Niterói,Ciência ambiental,Bacharelado,Integral,40.0,563.0,2019,14.075
Niterói,Ciência da computação,Bacharelado,Integral,140.0,2122.0,2019,15.157142857142857
Niterói,Ciências atuariais,Bacharelado,Noturno,80.0,704.0,2019,8.8
Niterói,Ciências biológicas,Bacharelado,Integral,80.0,1613.0,2019,20.1625
Niterói,Ciências biológicas,Licenciatura,Integral,40.0,573.0,2019,14.325
Niterói,Ciências contábeis,Bacharelado,Noturno,90.0,1517.0,2019,16.855555555555554
Niterói,Ciências econômicas,Bacharelado,Matutino,100.0,1094.0,2019,10.94
Niterói,Ciências econômicas,Bacharelado,Noturno,100.0,1224.0,2019,12.24
Niterói,Ciências sociais,Bacharelado,Noturno,30.0,380.0,2019,12.666666666666666
Niterói,Ciências sociais,Bacharelado,Vespertino,30.0,224.0,2019,7.466666666666667
Niterói,Ciências sociais,Licenciatura,Noturno,30.0,355.0,2019,11.833333333333334
Niterói,Ciências sociais,Licenciatura,Vespertino,30.0,263.0,2019,8.766666666666667
Niterói,Cinema e audiovisual,Bacharelado,Integral,72.0,2539.0,2019,35.263888888888886
Niterói,Cinema e audiovisual,Licenciatura,Noturno,22.0,350.0,2019,15.909090909090908
